,qname,teloBPLengths
335,8be73dcd-7248-4f7c-bef8-2efc26264e0e,198
336,b9cdca32-f8a5-4bff-ba35-748862648314,336
337,33599931-cb1d-4d74-b6c5-1632512b9da9,510
338,5c95e33b-a769-4b80-a5f8-77c1ee5230e1,36
339,9c1c316c-4fc4-430b-86c4-06f802ece996,384
340,eeccc295-67f9-4303-910c-c3e43cbb2924,840
341,92bbb4b9-2b5d-45eb-b650-53c1ea0353b2,498
342,47ce1bce-62b3-4c78-b765-f9b70bd3da05,18
343,19711a5c-f410-4398-9a92-4d9892c0298e,3444
344,20d914fb-180e-4511-b0d6-34c6c2394035,6
345,8af2e7d7-6e32-4f74-b1f2-48a5aa3ebdb2,264
346,f9ac826e-d0dc-487f-9951-59d22e7c7469,96
347,7ce4900c-c40c-4bb4-9277-819558d1321f,60
348,630ab916-8750-485f-83f1-4ca146cf52f1,12
349,b12a4fa1-e0ad-422b-b459-0b35a25a29c4,48
350,7ea2950a-64be-4614-bdbd-6ab444fa0ec3,60
351,43636654-90ea-43db-8f12-8c39ed47ef2d,276
352,5b24453e-b478-49ab-8fa1-fbcd1c254f98,222
353,349d00a1-bfd0-4e2c-a9da-0f8123e6b6a1,3384
354,a6cf17f5-ee9c-4dd6-bb48-076d091c057f,2364
355,e2ae93ea-6365-4b59-9f59-97899c310e3a,336
356,d97045de-d903-4cf7-8cf6-a6ca85156843,126
357,3d483ce5-2acd-41d0-8e35-1750c4bc1e0a,18
358,b99e26d0-2901-491c-a506-726d62e4f8c9,498
359,07d5e61b-efd7-4d1e-8061-f95214026f62,1182
360,a1ca2cbd-4257-466d-88a3-849626ed29e0,3816
361,0ba73a3d-7665-4e4c-b193-11734aa3c430,3492
362,5f00f858-3bb6-4d30-97f4-643675128332,2604
363,319f1c2f-4e74-4f64-b511-9fd97ce779fe,366
364,1f280462-9bbb-473c-98a4-d0c51b168a85,1422
365,cc82593d-5b76-4424-94cc-b277dcbe0eb0,2322
366,1e61ce34-691d-4519-8321-88eab2bf2075,48
367,f7960d43-eec8-4efe-a9e0-a8be262288cf,1218
368,cce2bc05-dd9f-4cdb-bce6-83b79a52406f,42
369,65049984-a06f-49f7-899b-6ef99857c711,2322
370,e9a35956-6b2b-4e17-aeee-e6813a0ae6b5,12
371,bfe6b7d1-53dc-4891-8ef4-a60bac98efe1,114
372,2b8ddb20-57d8-4e3c-83b6-523a04094ba2,12
373,a0aba82d-ea8c-4578-aff7-2d704e2d4335,1806
374,48c2e978-e76c-470b-baa7-e84a04753a3b,42
375,e64abc93-c072-4aa2-907c-60d8d25f110f,1050
376,71acdc6c-f9b7-42e2-910a-21dbe64cf6ef,192
377,a7b20a71-f35f-4ab3-8424-550793bec0d4,30
378,3126c49a-8eca-4f25-ad01-2be8062711dd,288
379,fdfac816-ebc9-410b-9bca-a58d47fcac68,186
380,7f943b48-4a13-48ea-bba3-dbcf99028a98,150
381,22cd1453-07ad-415e-94c8-c1cbfbc0a31e,144
382,39f40c2c-a3f3-4433-9aac-c1f6fcb76969,72
383,cb157287-f44b-41ac-b502-7eec55d851f4,54
384,ace8479c-8e78-4bd8-b2f4-bbd280d955cf,156
385,3dcff548-aeab-47ae-83a2-95e41ce985f4,162
386,f8da25a6-3326-4d34-964b-9790f2830c1f,6
387,cabaeda5-16c5-4eb6-91ff-66afaef7be6d,108
388,6cfa1bb7-7d61-4c45-8f01-04f70f0202c7,1314
389,97053764-b4e5-4885-ae65-d3ec0db2a42d,108
390,7776e66c-7f31-4ef3-8260-6439d1ef4d94,3414
391,dca5cf66-ac25-4953-ab40-c370ad54c322,42
392,ae07e4c3-afe3-4398-9fc6-da9729f3538c,1038
393,15141bb0-eb2a-488a-8674-8804e78ee80e,60
394,1907652e-3541-426c-b53c-17cbd4bc1e52,96
395,5877a23a-26ab-4457-830f-6da6a1bfda82,24
396,94207dfd-d966-49fe-93ce-42fad41d23ec,36
397,e1d032d6-8ff5-4562-82b6-74871733e4f5,78
398,7c35d475-d19c-4ab0-8e72-93ede547b1d7,546
399,470825c9-6fe6-423a-8621-5c34a4b3bf96,7422
400,e6507076-0be9-400d-8686-6404c35baf0c,252
401,48827ac9-98f9-4c24-a31a-2a38e6eac37b,402
402,37527933-ea5e-43f1-a8b6-af1888613dcf,198
403,5bac7fb7-5047-4d2b-9943-73c7540dba50,468
404,dd4b689e-2bd1-4950-8f7f-4b3c6c343123,576
405,0cbec92e-6830-4586-8944-ee30c875b146,2520
406,0966d260-b804-4c65-a7d6-eb675b5bb478,96
407,1599935c-4d5e-4787-b17b-e0044123ab19,3516
408,986b6e09-55bc-4b73-80b0-6e13cd7343be,2802
409,7738bc72-ba82-4f59-993c-00648aefa274,2298
410,ea56586f-bda5-490e-b0cf-5f94daefb809,6
411,ce91e2a7-ab5d-41e4-864c-286635a70898,18
412,2bf1c15a-cd91-4f9b-88ae-f1a9f88fe11f,474
413,31e0650a-a3d4-459e-ad52-1dc0edc9d2e7,120
414,2723f106-4060-4924-a61c-69f04cedc653,66
415,89bcd8c4-bc61-4f5a-a90e-d751b62482ae,1926
416,be9f0ece-26ce-452b-b478-253538c7cfed,3240
417,b0a6c8f3-3408-4428-b944-5890c5dd3af9,168
418,bf21d3ba-8769-4f6f-9697-3f50555a8c87,30
419,42779382-b24a-4a1e-a4ed-897a31c4495d,606
420,8e4a7dde-4b46-426f-9911-23a6a7af3b6d,306
421,117490bb-0cf1-4c75-9a88-235e38dfbe1b,12
422,abad8a42-c136-456c-98e1-9c34f944df71,156
423,7201c3ae-ac80-4f6d-a810-3d637aafe176,4512
424,bf96a11c-5b4e-403f-8d2c-47ec6ebcc627,3594
425,2a1389f9-d15d-4366-b097-1d649d55b8da,2964
426,8725965e-1a73-4ae9-bd9f-8f9d0e4f6fc2,66
427,f6811d5f-2759-4557-a47b-171124039479,1500
428,a5c979e8-ebcd-4f5f-8c92-8cf63cfe4717,468
429,b5ec0fa9-f5f4-4d39-bfdb-ce4eacb6bd7a,3330
430,7467aa44-2993-4662-a654-27d3c24dc656,618
431,4477a7df-5cd5-4384-89a3-6a0541075297,192
