,qname,teloBPLengths
120,19982cb0-ba65-4964-ac0d-b7dca9677a33,78
121,1aed3d27-7223-4869-8418-844091585de8,360
122,1fde1993-1a07-4fa1-881f-ca0e745820da,2358
123,24aa182d-ca53-473a-8aae-f634481421b1,174
124,24e3f2f2-8b50-4366-90c4-bd6af7c1e1d9,576
125,2630d5be-8363-43ef-9df6-203a9f339751,300
126,2652fd7c-46b9-4e3c-862c-62c3fd29e585,120
127,21eed0a5-152e-4b31-9cc4-96d59b9cf7e8,594
128,21f4b14e-1255-4cac-a56d-75fd7d5de3ce,90
129,22f7c422-ae3b-4a1d-9046-846cc133b8e8,12
130,245bd075-288e-4ea2-803e-819b63b9f9a8,54
131,24b683f1-5a0a-4ec6-a14e-c086071bda53,2082
132,25688881-dc29-4767-9773-f9b9989d54d8,132
133,25e2aaf2-0e6b-4446-a191-435962008a21,90
134,297985aa-ebf0-4b39-8da7-6bc7a989a6b2,24
135,2a238095-d9fb-4502-a335-f7dda3eb8b84,72
136,1fa7df56-4073-4738-9c6f-d14716196144,162
137,271e4c48-f2f7-4216-b967-77fa8014c1ff,18
138,214110af-8b23-441f-a951-0b8e9d2e975e,24
139,2258c7d2-44ff-471d-919c-365736ec8ced,282
140,23cbe50d-7323-412c-9afb-7fb88bee12ef,192
141,23cbf665-8e34-4bf9-8f2e-772ec42b5fd5,240
142,24de7998-7bd9-4c58-8093-d1d8293d8eda,42
143,25a0500c-71ac-4c8a-b878-bbb118334e75,1734
144,2c96eaf3-866f-41e0-9887-d97507bb1f93,174
145,2cce4b72-b26f-4bcd-a307-ad5df418917c,6
146,2104760c-1bf3-4d7b-80f3-dc50eccd5ac2,42
147,28296e3b-aa65-4c3c-8dd9-21f5f5bd0503,114
148,2e4fd90e-0610-4c5c-9e6d-37e6e581bc9e,6
149,2ed24d86-876c-477c-88e2-77ba6161d7a9,78
150,22cd1453-07ad-415e-94c8-c1cbfbc0a31e,84
151,27663854-4ed7-42f1-baec-1d62fccc10ae,24
152,2868d6d5-6a71-4a3c-b38e-3bb58ee10264,162
153,28fc8f20-63e6-43f8-b02e-c8f4cb973386,132
154,2a07ea58-b3c7-45c0-acd1-3129409a5409,204
155,2b459ff4-42b5-4c52-a451-d8c2ac2ecfc3,54
156,2b8ddb20-57d8-4e3c-83b6-523a04094ba2,24
157,2bd0a0c6-be55-4ab5-b6b2-7a865a5ba1b7,186
158,2be0c816-2baf-457d-a20c-7205d5bba6e4,834
159,2bf1c15a-cd91-4f9b-88ae-f1a9f88fe11f,444
160,2fe3765f-9a58-403d-b381-5e5a4aeae341,222
161,2ff422d5-b373-45ef-9c91-f187a5d89184,36
162,31e0650a-a3d4-459e-ad52-1dc0edc9d2e7,126
163,33599931-cb1d-4d74-b6c5-1632512b9da9,60
164,3540ebcf-0be8-43f0-8306-d3d4d72d1bd0,90
165,361e718a-ff00-4576-bf5b-8891e9f38e12,102
166,2c9097f7-df4c-436d-bb4a-6868864cdcb0,114
167,2cf5bc31-0a63-4f5f-a40f-81503e03b0f2,168
168,2d660145-c1aa-4633-98c4-edc7dee8b445,6
169,2defb7ec-5fee-4c84-8255-69d5bb3db700,42
170,3667fe92-1517-4c22-92eb-53ed1ede5928,84
171,36f6afbb-4424-4c73-9593-9a59b4b95327,84
172,37527933-ea5e-43f1-a8b6-af1888613dcf,408
173,38b868e1-8153-4d64-bd51-90339967b572,306
174,39675f20-33f5-40f0-8c3d-535875641ba5,60
175,3aaee9d9-459f-48a6-ac3b-2f392f630dc4,24
176,3ab6d59b-054c-4e09-8052-c94bdcf1b48e,126
177,3cf0c793-a2b2-40c7-8c30-452288999a50,54
178,3d483ce5-2acd-41d0-8e35-1750c4bc1e0a,204
179,23db9c66-9ad7-4f70-b175-e09417a7ed3f,318
180,23f1d40b-7287-4259-bfd0-274ea57cc572,132
181,25abb417-68e3-46f6-a237-541ae803f0c9,90
182,26c0e545-addb-4735-9e6b-0497e401171d,132
183,27b771bf-a13e-42f4-9972-7cb5e74223ff,36
184,2878e759-82ab-4d44-bd5e-f0b8ecf360c5,660
185,29b54cc2-2e74-43b8-b13f-ac7f2761e92d,1704
186,3da8de8f-3164-4474-8530-3b4f60d76048,240
187,2e1cb466-193f-445a-86cf-ba5c6904e538,18
188,3e32427e-1860-4b2f-8945-bdf73b95d62f,6
189,3f987193-fec6-495d-968e-a8d2539f533d,66
190,401dfb98-86b8-40ce-bc96-cc2946bca6a3,12
191,406b7c5f-f91e-4159-bf89-efed9f781539,36
192,2cc709e6-691e-4ee7-83ed-55608a786161,72
193,2d042057-b437-4451-a2bd-b91369e88234,204
194,306053df-2c9d-4ebc-b89e-89f89e4e903f,402
195,30e0c0e4-b542-4a63-8e42-1992f2be6c41,96
196,30e177ba-ddb4-4e78-84d7-c542c42f4710,366
197,328d1a96-938a-4dcd-8009-3f96436e0fa7,426
198,30f29f54-bb1d-4e8f-b39c-6024fa12f0fd,6
199,31bef312-8cc7-414f-8360-e813f7f51004,492
200,32c42916-f33d-4e41-9902-d27e93b16828,66
201,319f1c2f-4e74-4f64-b511-9fd97ce779fe,36
202,31c3ad1b-3b22-4204-8a77-80d21324f969,438
203,31dde837-bca8-4320-93b5-1594ccb609d8,30
204,3285dca3-02d0-4492-b5e9-dadf92c15d07,2166
205,3412f091-bdf4-490b-82e8-70c8f68ce5b5,66
206,3562d2c6-a2f8-4de3-a4a5-118df1e84260,144
207,443aed1c-cc59-4a18-902c-17ff1d45a900,54
208,448ab1e7-6bb0-4133-b314-e696b848a013,66
209,46251d19-53df-4bca-a85e-95eaa9bf17b1,1686
210,47597944-f7a7-46a4-90c1-e036723e9f66,528
211,359e12d3-1717-4e64-80ac-1500cce79a1b,234
212,4909391f-38a7-4a46-92dc-07620c09facf,672
213,344774fa-e2e3-47de-88b6-0c7f158259c3,42
214,363db292-196f-4f4b-a336-358174e841a4,12
215,375ec19e-c6be-4e3e-8fb8-99b4bb6f28c0,108
216,375f9338-7e5c-4a40-bc12-27f4360e0806,102
217,49d7fd45-0ad0-48ae-9e23-5f89f80d5ada,18
218,4affdc99-3674-4338-a4d5-f95d2704cac0,18
219,32fd0ebc-65af-4311-8048-830060ba49c0,264
220,3363c2f3-ea64-429b-b5b1-623af7f4a582,240
221,349d00a1-bfd0-4e2c-a9da-0f8123e6b6a1,270
